                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76779,                 1.4884,                 1.1719,                0.78228,                0.21952,                0.24831,                0.18701,                0.67338,                 4.9967,                0.80851,             0.00054211,             0.00054211,             0.00054211
                      2,                0.97036,                 1.1232,                 1.2992,                0.23014,                0.09868,                0.06057,                0.03408,                 1.4288,                 8.0795,                 1.5215,               0.001076,               0.001076,               0.001076
                      3,                 1.1192,                 1.2372,                 1.4282,                0.30064,                0.13828,                0.09007,                0.06073,                 1.0559,                 24.419,                 1.2243,               0.001588,               0.001588,               0.001588
                      4,                 1.2234,                 1.3857,                 1.4954,                0.04162,                 0.0638,                0.00663,                0.00399,                 1.5222,                    inf,                 2.7214,               0.001568,               0.001568,               0.001568
                      5,                 1.4242,                  1.396,                 1.6163,                0.30574,                0.06772,                0.05769,                0.03322,                  1.094,                 19.889,                 1.1483,               0.001568,               0.001568,               0.001568
                      6,                 1.1439,                  1.048,                 1.4103,                 0.5588,                0.08124,                0.08125,                0.06291,                0.98323,                 5.7795,                 1.0266,               0.001535,               0.001535,               0.001535
                      7,                 1.0492,                 0.9117,                 1.3258,                0.80031,                0.07542,                0.07832,                0.06265,                0.86505,                 3.1605,                 0.9122,               0.001502,               0.001502,               0.001502
                      8,                 1.0402,                0.94297,                  1.341,                0.59083,                0.07542,                0.07189,                0.05572,                 1.2437,                 4.3774,                 1.1022,               0.001469,               0.001469,               0.001469
                      9,                 1.0512,                0.92674,                 1.3403,                0.98474,                0.07542,                0.08893,                0.06956,                0.85586,                 1.5727,                0.93954,               0.001436,               0.001436,               0.001436
                     10,                  1.003,                0.85546,                 1.3002,                 0.5416,                 0.0638,                0.06144,                0.04724,                 1.1068,                  4.695,                  1.113,              0.0014029,              0.0014029,              0.0014029
                     11,                0.99352,                0.86179,                 1.3289,                0.74801,                0.07542,                0.09009,                0.06797,                0.91251,                 1.8512,                0.94466,              0.0013699,              0.0013699,              0.0013699
                     12,                0.96003,                0.76161,                 1.2932,                0.75402,                0.06961,                0.07424,                0.05942,                 1.0015,                    4.5,                 1.0218,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.0193,                0.78175,                 1.3013,                0.98434,                0.07542,                 0.1113,                0.09518,                0.77865,                 1.2902,                0.85307,              0.0013039,              0.0013039,              0.0013039
